geohash,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
xn76gt,0,0,0,0,16,0,64,16,0,41,0,0,0,10,120,27,147,0,0,147,0
xn76gu,0,0,0,2,2,0,26,20,4,88,0,6,0,16,118,46,162,2,0,164,0
xn76gv,0,0,2,0,0,0,32,53,17,82,3,8,0,17,110,104,212,2,0,212,2
xn76gw,0,0,0,0,0,0,16,0,0,20,0,14,0,28,58,20,78,0,0,78,0
xn76gx,0,0,0,0,0,0,8,12,2,12,0,0,0,18,48,4,50,2,0,52,0
xn76gy,0,0,0,0,0,0,12,27,0,10,0,11,3,39,44,58,102,0,0,102,0
xn76gz,0,0,1,0,0,0,28,8,2,72,0,22,13,29,112,63,174,1,0,173,2
xn76hh,0,0,0,0,0,0,18,0,0,16,0,0,0,76,106,4,110,0,0,110,0
xn76hj,0,0,0,0,0,0,38,0,0,52,0,26,0,165,240,41,281,0,0,281,0
xn76hp,0,0,0,0,0,0,75,0,0,52,0,15,0,96,200,38,234,4,0,238,0
xn76hq,0,0,0,0,8,3,0,0,0,6,1,0,0,0,4,14,14,4,0,17,1
xn76hw,0,0,0,0,2,0,0,0,0,8,1,0,0,2,4,9,13,0,0,13,0
xn76hy,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,6,0
xn76hz,0,0,0,0,0,0,0,0,0,16,0,0,1,32,0,49,40,9,0,49,0
xn76k0,0,0,0,0,0,0,14,0,0,44,0,0,0,52,102,8,108,2,0,110,0
xn76k5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0
xn76k7,0,0,0,0,0,0,0,0,0,24,0,5,1,64,64,30,94,0,0,94,0
xn76kb,0,0,0,10,0,0,0,0,0,13,0,0,0,8,2,29,19,12,0,31,0
xn76ke,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6,2,8,0,0,8,0
xn76kh,0,0,0,8,9,0,4,0,0,17,0,2,0,1,14,27,37,4,0,41,0
xn76kj,0,0,0,0,7,8,7,0,0,14,0,0,2,0,12,26,35,3,0,38,0
xn76kk,0,0,0,0,0,0,18,0,0,3,0,1,0,0,18,4,22,0,0,22,0
xn76km,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,3,1,0,4,0
xn76kp,0,0,0,2,0,0,0,0,0,17,0,4,16,2,0,41,15,26,0,41,0
xn76kr,0,0,0,0,5,0,0,0,0,13,0,0,0,0,6,12,18,0,0,18,0
xn76ku,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,2,6,0,0,6,0
xn76kv,0,0,0,0,0,0,0,0,0,24,0,0,0,0,18,6,24,0,0,24,0
xn76mp,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,9,9,0,0,8,1
xn76s1,0,0,0,3,2,0,0,0,0,6,0,7,3,0,8,13,18,3,0,21,0
xn76s4,0,0,1,1,7,20,0,8,4,11,0,19,4,19,40,54,68,26,0,94,0
xn76s5,0,0,0,0,2,1,0,0,0,18,0,12,0,61,90,4,94,0,0,94,0
xn76se,0,0,0,0,0,0,0,2,0,6,2,0,0,0,6,4,10,0,0,10,0
xn76sg,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,10,12,0,0,12,0
xn76sh,0,0,0,0,23,3,8,6,2,6,0,8,0,16,40,32,68,4,0,72,0
xn76sj,0,0,0,0,2,1,2,12,8,26,0,0,0,0,32,19,49,2,0,51,0
xn76sn,0,0,0,0,8,0,0,13,0,46,0,0,0,5,38,34,70,2,0,72,0
xn76sp,0,0,0,2,9,0,2,0,0,49,0,0,0,4,54,12,57,9,0,66,0
xn76ss,0,0,0,0,0,0,0,6,0,9,0,0,0,1,4,12,16,0,0,16,0
xn76st,0,0,0,0,0,0,0,10,0,24,0,10,1,2,4,43,43,4,0,47,0
xn76sv,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,8,9,1,0,10,0
xn76sw,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,1,8,1,0,9,0
xn76sy,0,0,0,2,0,0,0,5,0,19,9,11,0,0,4,42,40,6,0,46,0
xn76sz,0,0,0,0,0,0,0,6,1,25,0,0,0,0,20,12,32,0,0,32,0
xn76tn,0,0,0,0,0,0,1,3,0,20,1,0,0,4,12,17,29,0,0,29,0
xn76tp,0,0,0,0,2,0,0,9,2,15,0,3,16,1,4,44,33,15,0,48,0
xn76tu,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,7,11,0,0,11,0
xn76u0,0,0,0,1,33,3,27,9,0,103,1,0,0,9,108,78,167,19,0,186,0
xn76u1,0,0,0,0,1,0,80,6,0,68,3,34,3,20,102,113,213,2,0,214,1
xn76u2,0,0,0,0,0,0,0,0,0,14,2,0,0,4,14,6,20,0,0,20,0
xn76u3,0,0,3,2,5,0,0,0,0,11,0,3,0,0,10,14,15,9,0,24,0
xn76u4,0,0,0,7,4,1,72,14,0,48,0,12,0,68,106,120,218,8,0,224,2
xn76u5,0,0,0,0,7,3,17,8,2,108,0,12,0,83,148,92,240,0,2,238,0
xn76u6,0,0,4,0,6,1,0,6,1,42,0,0,0,6,48,18,60,6,0,66,0
xn76u7,0,0,0,0,4,0,3,7,0,2,0,0,0,27,20,23,43,0,0,43,0
xn76u9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,6,0
xn76ub,0,0,0,0,0,0,0,11,0,0,0,0,0,11,6,16,16,6,0,22,0
xn76ue,0,0,0,0,12,12,9,4,0,76,0,0,0,16,76,53,121,8,0,129,0
xn76uf,0,0,0,0,17,3,0,0,0,60,0,0,0,0,58,22,80,0,0,80,0
xn76ug,0,0,0,0,12,0,1,5,0,49,1,0,0,21,58,31,86,3,0,89,0
xn76uh,0,0,0,0,12,0,83,45,0,125,0,8,0,148,236,185,421,0,0,420,1
xn76uj,0,0,0,0,15,0,26,49,4,59,0,19,0,46,72,146,218,0,0,218,0
xn76uk,0,0,0,1,48,6,23,46,4,33,0,18,0,38,68,149,214,3,0,214,3
xn76um,0,0,0,0,40,1,13,21,0,34,0,14,0,142,50,215,265,0,0,265,0
xn76un,0,0,1,4,4,0,0,69,22,7,0,32,19,1,20,139,158,1,0,156,3
xn76up,0,0,0,0,0,0,0,4,1,0,0,1,0,0,4,2,6,0,0,6,0
xn76uq,0,0,0,0,12,6,21,54,0,28,2,10,1,57,62,129,191,0,0,187,4
xn76ur,0,0,0,0,6,0,6,28,0,14,0,10,0,0,26,38,64,0,0,64,0
xn76us,0,0,0,0,20,0,73,0,0,62,0,0,0,10,66,99,165,0,0,165,0
xn76ut,0,0,5,7,28,0,101,24,2,109,0,0,0,72,118,230,332,16,0,342,6
xn76uu,0,0,0,0,0,0,0,22,6,77,0,0,0,58,102,61,161,2,0,163,0
xn76uv,0,0,0,0,0,0,29,5,0,28,0,0,0,32,46,48,90,4,0,94,0
xn76uw,0,0,1,2,61,0,113,0,0,147,0,15,0,80,126,293,413,6,0,416,3
xn76ux,0,0,4,1,44,2,41,28,4,59,0,30,0,101,72,242,308,6,0,314,0
xn76uy,0,0,0,0,10,0,55,17,0,115,0,0,0,93,174,116,280,10,0,290,0
xn76uz,0,0,7,23,36,2,34,5,6,114,0,0,0,180,124,283,369,38,0,407,0
xn76v0,0,0,2,0,5,0,0,0,0,52,0,1,0,0,52,8,57,3,0,60,0
xn76v1,0,0,0,0,0,0,0,0,0,6,0,0,0,2,8,0,8,0,0,8,0
xn76v2,0,0,2,0,7,0,0,0,0,32,1,5,0,0,20,27,41,6,0,47,0
xn76v3,0,0,0,0,6,2,0,0,0,44,1,0,0,0,26,27,51,2,0,53,0
xn76v4,0,0,0,0,17,4,10,3,0,40,0,0,0,10,52,32,84,0,0,84,0
xn76v5,0,0,0,0,12,2,0,0,0,44,4,0,0,2,22,42,64,0,0,64,0
xn76v8,0,0,0,0,1,0,0,0,0,68,0,2,0,0,50,21,71,0,0,71,0
xn76v9,0,0,0,3,1,1,0,0,0,8,0,0,1,4,12,6,15,3,0,18,0
xn76vb,0,0,0,0,0,0,2,0,0,23,0,0,0,22,28,19,45,2,0,47,0
xn76vc,0,0,0,2,3,0,0,0,0,18,0,0,12,5,12,28,38,2,0,40,0
xn76ve,0,0,0,0,0,0,94,0,0,75,0,0,0,0,142,27,167,2,0,169,0
xn76vg,0,0,0,0,8,0,8,0,0,6,0,0,0,0,12,10,22,0,0,22,0
xn76vh,0,0,0,0,0,0,10,0,0,28,0,0,0,12,36,14,46,4,0,50,0
xn76vj,0,0,0,0,13,0,136,15,0,84,4,0,0,25,212,65,258,19,0,277,0
xn76vk,0,0,0,0,17,0,47,0,0,79,0,0,0,6,112,37,138,11,0,149,0
xn76vm,0,0,0,2,33,0,109,0,0,56,0,0,0,19,126,93,205,14,0,219,0
xn76vn,0,0,1,2,15,0,112,71,6,72,0,0,0,39,126,192,307,11,0,318,0
xn76vp,0,0,0,0,0,0,61,52,1,50,0,0,0,51,132,83,208,7,0,215,0
xn76vq,0,0,0,0,7,0,38,13,0,62,0,0,0,26,102,44,123,23,0,146,0
xn76vr,0,0,0,0,13,0,155,29,0,42,0,0,0,38,142,135,271,6,0,277,0
xn76vs,0,0,0,0,0,0,28,0,0,28,0,0,0,1,48,9,53,4,0,57,0
xn76vt,0,0,0,0,15,0,85,7,0,20,0,0,0,27,92,62,154,0,0,154,0
xn76vv,0,0,0,0,14,0,35,8,0,15,0,0,0,0,50,22,72,0,0,72,0
xn76vw,0,0,0,0,0,0,35,24,0,46,0,0,0,15,82,38,113,7,0,120,0
xn76vx,0,0,0,0,0,0,146,46,0,82,0,0,0,37,176,135,304,7,0,311,0
xn76vy,0,0,0,0,32,0,35,16,1,40,0,0,0,8,106,26,127,5,0,131,1
xn76vz,0,0,0,0,14,0,67,11,1,5,0,0,0,52,110,40,150,0,0,149,1
xn76wp,0,0,0,0,0,0,14,0,0,34,0,0,0,0,38,10,48,0,0,48,0
xn76wz,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0
xn76xj,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0
xn76xm,0,0,0,0,0,0,0,0,0,29,10,0,0,0,18,21,39,0,0,36,3
xn76xn,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
xn76xp,0,0,1,1,0,0,124,0,0,16,1,7,3,1,132,22,150,4,0,152,2
xn76xq,0,0,0,0,0,0,0,4,0,30,0,0,0,4,32,6,38,0,0,38,0
xn76y7,0,0,0,0,2,0,0,0,0,12,0,0,0,0,12,2,14,0,0,14,0
xn76y8,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,7,7,0,0,7,0
xn76yb,0,0,0,2,0,0,20,0,0,31,0,2,11,0,44,22,60,6,0,66,0
xn76yc,0,0,0,0,9,0,99,0,0,68,0,0,0,8,140,44,184,0,0,184,0
xn76yd,0,0,0,0,0,0,32,0,0,55,0,0,0,18,90,15,103,2,0,105,0
xn76yf,0,0,0,0,12,0,213,0,0,90,0,0,0,2,284,33,317,0,0,317,0
xn76yh,0,0,0,0,4,4,10,2,0,14,0,0,0,4,30,8,38,0,0,38,0
xn76yj,0,0,0,0,8,5,82,31,0,58,0,0,0,10,182,12,192,2,0,194,0
xn76yk,0,0,0,0,10,0,22,8,1,18,0,0,0,1,46,14,60,0,0,60,0
xn76yn,0,0,0,0,34,0,87,22,0,12,0,0,0,44,194,5,199,0,0,199,0
xn76yp,0,0,0,0,0,0,127,23,0,0,0,0,0,72,198,24,222,0,0,222,0
xn76yr,0,0,0,0,0,0,16,0,0,0,0,0,0,4,14,6,20,0,0,20,0
xn76ys,0,0,0,0,0,0,123,14,0,166,0,0,0,34,274,63,337,0,0,337,0
xn76yt,0,0,0,0,28,0,111,0,0,65,0,0,0,36,214,26,240,0,0,240,0
xn76yu,0,0,0,0,7,5,167,0,0,162,0,0,0,61,342,60,402,0,0,402,0
xn76z0,0,0,0,0,0,0,182,0,0,29,1,0,0,14,212,14,224,2,0,226,0
xn76z4,0,0,0,0,0,0,122,0,0,41,0,0,0,10,152,21,173,0,0,173,0
xn76z6,0,0,0,0,0,0,246,0,0,86,0,0,0,22,304,50,346,8,0,354,0
xn76z7,0,0,0,0,0,0,275,0,0,53,0,0,0,46,342,32,367,7,0,374,0
xn76zd,0,0,0,0,0,0,76,0,0,36,0,0,0,6,118,0,116,2,0,118,0
xn76ze,0,0,0,0,0,0,48,18,0,32,0,0,0,16,114,0,112,2,0,114,0
xn76zh,0,0,0,0,14,10,194,16,0,90,0,0,0,13,300,37,325,12,0,337,0
xn76zj,0,0,0,0,0,0,193,14,0,4,0,0,0,18,224,5,229,0,0,229,0
xn76zk,0,0,0,0,16,2,155,16,0,44,0,0,0,63,270,26,286,10,2,294,0
xn76zm,0,0,0,0,16,0,138,0,0,72,0,0,0,11,228,9,237,0,0,237,0
xn76zs,0,0,0,0,0,0,87,0,0,26,0,0,0,12,110,15,121,4,0,125,0
xn76zt,0,0,0,0,0,0,121,0,0,82,6,0,0,7,192,24,216,0,0,216,0
xn7704,0,0,0,0,0,0,20,0,0,0,0,0,0,96,116,0,114,2,0,116,0
xn7705,0,0,0,0,46,0,6,16,0,14,0,0,0,169,194,57,251,0,0,249,2
xn7706,0,0,0,0,24,0,30,0,0,18,0,0,0,191,246,17,259,4,0,263,0
xn7707,0,0,0,0,46,0,55,0,0,0,0,0,0,128,216,13,229,0,0,229,0
xn7708,0,0,0,0,47,0,191,0,0,32,0,0,0,85,322,33,343,12,0,355,0
xn770b,0,0,0,0,48,0,225,0,0,4,0,0,0,113,364,26,387,3,0,390,0
xn770c,0,0,0,0,88,0,127,0,0,10,0,0,0,98,298,25,323,0,0,323,0
xn770e,0,0,0,0,8,0,97,0,0,22,0,0,0,112,178,61,239,0,0,239,0
xn770f,0,0,0,0,10,0,98,0,0,27,0,0,0,156,178,113,291,0,0,291,0
xn770g,0,0,0,0,0,0,54,0,0,106,0,0,0,160,270,50,314,6,0,320,0
xn770h,0,0,0,0,52,0,60,24,0,2,0,0,0,99,184,53,237,0,0,237,0
xn770k,0,0,0,0,12,0,115,36,0,0,0,0,0,83,222,24,246,0,0,246,0
xn770m,0,0,0,0,0,0,181,24,0,54,0,0,0,52,282,29,311,0,0,311,0
xn770r,0,0,0,0,7,0,182,10,0,44,0,0,0,79,288,34,320,2,0,322,0
xn770t,0,0,0,0,13,0,55,12,0,56,0,0,0,143,224,55,274,5,0,279,0
xn770u,0,0,0,0,13,0,86,0,0,76,0,0,0,144,214,105,308,11,0,319,0
xn770v,0,0,0,0,9,0,81,0,0,54,0,0,0,73,134,83,217,0,0,217,0
xn770x,0,0,0,0,0,0,170,38,0,18,0,0,0,62,266,22,288,0,0,288,0
xn770y,0,0,0,0,1,17,42,24,0,33,0,0,0,94,128,83,211,0,0,211,0
xn770z,0,0,0,0,0,1,82,8,0,54,0,0,0,143,206,82,288,0,0,288,0
xn7710,0,0,0,0,49,3,134,24,0,9,0,0,0,72,250,41,291,0,0,291,0
xn7713,0,0,0,0,32,0,226,0,0,18,0,0,0,48,310,14,320,4,0,324,0
xn7715,0,0,0,0,16,7,156,0,0,54,0,0,0,62,192,103,282,13,0,294,1
xn7716,0,0,0,0,5,0,164,2,0,18,0,0,0,53,232,10,240,2,0,242,0
xn7717,0,0,0,0,19,0,205,4,0,7,5,0,0,25,210,55,265,0,0,265,0
xn7719,0,0,0,0,24,0,252,15,0,0,0,0,0,130,368,53,421,0,0,421,0
xn771b,0,0,0,0,11,4,99,2,0,10,0,0,0,57,158,25,173,10,0,183,0
xn771c,0,0,0,0,11,0,265,9,0,6,0,0,0,84,330,45,375,0,0,375,0
xn771d,0,0,0,0,49,0,297,18,0,0,0,0,0,62,376,50,426,0,0,426,0
xn771e,0,0,0,0,0,0,308,14,0,0,0,0,0,119,416,25,441,0,0,441,0
xn771f,0,0,0,0,38,17,175,5,0,10,0,0,0,34,196,83,279,0,0,279,0
