geohash_start,geohash_end,weight
dr5rkg,dr5rm5,8
dr5rkh,dr5rkj,18
dr5rkh,dr5rkk,4
dr5rkj,dr5rkk,1
dr5rkj,dr5rkm,9
dr5rkj,dr5rkn,10
dr5rkj,dr5rkp,2
dr5rkk,dr5rkm,9
dr5rkk,dr5rks,8
dr5rkm,dr5rkn,1
dr5rkm,dr5rkq,9
dr5rkm,dr5rks,2
dr5rkm,dr5rkt,8
dr5rkn,dr5rkp,9
dr5rkn,dr5rkq,7
dr5rkp,dr5rkr,9
dr5rkp,dr5rs0,12
dr5rkp,dr5rs1,1
dr5rkp,dr5rs2,1
dr5rkq,dr5rkr,9
dr5rkq,dr5rkt,1
dr5rkq,dr5rkw,9
dr5rkr,dr5rkw,1
dr5rkr,dr5rkx,7
dr5rkr,dr5rs2,14
dr5rks,dr5rkt,12
dr5rks,dr5rku,8
dr5rkt,dr5rku,1
dr5rkt,dr5rkv,7
dr5rkt,dr5rkw,10
dr5rku,dr5rkv,7
dr5rku,dr5rm5,1
dr5rku,dr5rmh,6
dr5rkv,dr5rkw,1
dr5rkv,dr5rky,18
dr5rkv,dr5rmh,1
dr5rkv,dr5rmj,9
dr5rkw,dr5rkx,16
dr5rkw,dr5rky,7
dr5rkx,dr5rky,1
dr5rkx,dr5rkz,4
dr5rky,dr5rkz,12
dr5rky,dr5rmn,10
dr5rky,dr5rmp,1
dr5rkz,dr5rmp,4
dr5rm0,dr5rm1,7
dr5rm0,dr5rm2,8
dr5rm1,dr5rm3,8
dr5rm2,dr5rm3,9
dr5rm3,dr5rm6,7
dr5rm5,dr5rm7,9
dr5rm5,dr5rmh,10
dr5rm6,dr5rm7,5
dr5rm6,dr5rmd,10
dr5rm7,dr5rme,10
dr5rmd,dr5rme,7
dr5rmd,dr5rmf,8
dr5rme,dr5rms,7
dr5rmf,dr5rq4,8
dr5rmh,dr5rmj,8
dr5rmj,dr5rmm,9
dr5rmj,dr5rmn,8
dr5rmm,dr5rmq,5
dr5rmm,dr5rmt,9
dr5rmm,dr5rmw,1
dr5rmn,dr5rmp,5
dr5rmn,dr5rmq,8
dr5rmp,dr5rt0,9
dr5rmq,dr5rmw,8
dr5rmq,dr5rmx,2
dr5rms,dr5rmt,7
dr5rms,dr5rmu,5
dr5rmt,dr5rmv,11
dr5rmt,dr5rmw,6
dr5rmu,dr5rmv,8
dr5rmw,dr5rmx,5
dr5rmx,dr5rmz,9
dr5rmx,dr5rt8,8
dr5rmx,dr5rtb,2
dr5rmz,dr5rtb,12
dr5rnn,dr5rnp,20
dr5rnn,dr5rnq,9
dr5rnp,dr5rnq,1
dr5rnp,dr5rnr,10
dr5rnp,dr5rq0,14
dr5rnq,dr5rnr,14
dr5rnq,dr5rnt,4
dr5rnq,dr5rnw,6
dr5rnr,dr5rnw,4
dr5rnr,dr5rnx,7
dr5rnr,dr5rq0,1
dr5rnr,dr5rq2,11
dr5rnt,dr5rnw,13
dr5rnt,dr5rny,3
dr5rnw,dr5rnx,11
dr5rnw,dr5rny,5
dr5rnx,dr5rq2,2
dr5rnx,dr5rq8,9
dr5rq0,dr5rq1,11
dr5rq0,dr5rq2,2
dr5rq1,dr5rq4,17
dr5rq2,dr5rq8,4
dr5rq4,dr5rq5,13
dr5rq5,dr5rq7,7
dr5rq7,dr5rqk,13
dr5rqf,dr5rqg,14
dr5rqf,dr5rr5,1
dr5rqg,dr5rqu,12
dr5rqg,dr5rr5,5
dr5rqk,dr5rqm,16
dr5rqm,dr5rqt,10
dr5rqm,dr5rqw,2
dr5rqt,dr5rqv,5
dr5rqt,dr5rqw,16
dr5rqu,dr5rqv,14
dr5rqu,dr5rrh,8
dr5rqv,dr5rqw,1
dr5rqv,dr5rqy,12
dr5rqw,dr5rqy,5
dr5rr0,dr5rrd,2
dr5rr5,dr5rrh,16
dr5rr6,dr5rrd,8
dr5rrd,dr5rrf,4
dr5rrf,dr5x24,6
dr5rrr,dr5rrw,1
dr5rrt,dr5rru,2
dr5rrt,dr5rrw,17
dr5rs0,dr5rs1,7
dr5rs0,dr5rs2,8
dr5rs1,dr5rs2,1
dr5rs1,dr5rs3,14
dr5rs2,dr5rs3,16
dr5rs2,dr5rsh,1
dr5rs3,dr5rs5,2
dr5rs3,dr5rs6,5
dr5rs3,dr5rsh,2
dr5rs4,dr5rs5,14
dr5rs4,dr5rs6,2
dr5rs4,dr5rse,2
dr5rs5,dr5rs7,10
dr5rs5,dr5rsh,13
